num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1506638472019_7413,2533,11367,0,inception4
1,application_1506638472019_7414,2439,11367,0,inception3
1,application_1506638472019_7415,2534,11368,0,inception3
1,application_1506638472019_7416,2583,11368,0,inception3
1,application_1506638472019_7417,2441,11368,0,alexnet
1,application_1506638472019_7418,2500,11368,0,resnet101
1,application_1506638472019_7419,2558,11368,0,vgg16
1,application_1506638472019_7420,2430,11368,0,vgg11
1,application_1506638472019_7421,2649,11368,0,resnet50
1,application_1506638472019_7422,2449,11368,0,inception4
1,application_1506638472019_7423,2580,11369,0,vgg11
1,application_1506638472019_7424,2503,11369,0,vgg19
1,application_1506638472019_7425,2481,11369,0,inception4
1,application_1506638472019_7426,2447,11369,0,inception3
1,application_1506638472019_7427,2489,11369,0,vgg11
1,application_1506638472019_7428,58,11369,0,inception3
1,application_1506638472019_7429,2477,11370,0,inception4
1,application_1506638472019_7430,2503,11370,0,vgg11
1,application_1506638472019_7431,2542,11370,0,resnet50
1,application_1506638472019_7432,2478,11370,0,resnet50
1,application_1506638472019_7433,2544,11370,0,resnet50
1,application_1506638472019_7437,2451,11371,0,alexnet
1,application_1506638472019_7438,2593,11371,0,resnet101
1,application_1506638472019_7439,2568,11371,0,vgg11
1,application_1506638472019_7440,2572,11371,0,vgg16
1,application_1506638472019_7441,2812,11371,0,vgg16
1,application_1506638472019_7442,2645,11371,0,vgg11
1,application_1506638472019_7443,2656,11371,0,vgg11
1,application_1506638472019_7444,2627,11372,0,vgg11
1,application_1506638472019_7445,2552,11372,0,alexnet
1,application_1506638472019_7446,2558,11372,0,vgg19
1,application_1506638472019_7447,2687,11372,0,inception3
1,application_1506638472019_7448,2454,11372,0,inception3
1,application_1506638472019_7449,2612,11372,0,resnet101
1,application_1506638472019_7450,2712,11372,0,alexnet
1,application_1506638472019_7451,2545,11372,0,alexnet
1,application_1506638472019_7452,2451,11373,0,vgg16
1,application_1506638472019_7453,2562,11373,0,inception4
1,application_1506638472019_7454,2595,11373,0,vgg19
1,application_1506638472019_7455,2529,11373,0,vgg11
1,application_1506638472019_7456,2509,11373,0,vgg11
1,application_1506638472019_7457,2577,11373,0,vgg11
1,application_1506638472019_7458,2684,11373,0,resnet101
1,application_1506638472019_7459,2623,11373,0,resnet50
1,application_1506638472019_7460,2534,11373,0,inception3
1,application_1506638472019_7462,2584,11373,0,alexnet
1,application_1506638472019_7463,2458,11373,0,vgg11
1,application_1506638472019_7465,2884,11374,0,vgg11
1,application_1506638472019_7464,2561,11374,0,resnet50
1,application_1506638472019_7466,2549,11374,0,resnet101
1,application_1506638472019_7467,2425,11374,0,inception4
1,application_1506638472019_7468,2540,11374,0,alexnet
1,application_1506638472019_7470,2708,11374,0,resnet50
1,application_1506638472019_7471,2636,11374,0,vgg19
1,application_1506638472019_7472,2680,11374,0,inception3
1,application_1506638472019_7473,2784,11374,0,resnet101
1,application_1506638472019_7474,2666,11374,0,vgg11
1,application_1506638472019_7475,2611,11375,0,inception4
1,application_1506638472019_7476,2651,11375,0,inception3
1,application_1506638472019_7477,2665,11375,0,inception3
1,application_1506638472019_7478,2534,11375,0,resnet101
1,application_1506638472019_7480,2507,11375,0,inception3
1,application_1506638472019_7479,2481,11375,0,vgg19
1,application_1506638472019_7481,2604,11375,0,vgg16
1,application_1506638472019_7482,2528,11375,0,vgg11
1,application_1506638472019_7483,2641,11375,0,inception4
1,application_1506638472019_7484,2466,11375,0,resnet50
1,application_1506638472019_7485,2471,11375,0,vgg19
1,application_1506638472019_7486,2590,11376,0,vgg16
1,application_1506638472019_7487,2470,11376,0,inception4
1,application_1506638472019_7488,2557,11376,0,vgg16
1,application_1506638472019_7489,2628,11376,0,inception3
1,application_1506638472019_7490,2500,11376,0,vgg19
1,application_1506638472019_7493,2466,11376,0,vgg11
